tag,value,type,label,label_cn,only_bj,use
landuse,forest,way,landuse-wood,林地,0,1
landuse,forest,node,landuse-wood,林地,0,1
landuse,grass,way,landuse-grass,草地,0,1
landuse,industrial,way,landuse-industrial,工业用地,0,1
landuse,industrial,node,landuse-industrial,工业用地,0,1
landuse,meadow,way,landuse-grass,草地,0,1
landuse,quarry,way,landuse-quarry,采矿场,0,1
landuse,quarry,node,landuse-quarry,采矿场,0,1
landuse,reservoir,way,landuse-reservoir,水库,0,1
landuse,reservoir,node,landuse-reservoir,水库,0,1
landuse,residential,way,landuse-residential,居住区,0,1
landuse,residential,node,landuse-residential,居住区,0,1
landuse,retail,way,landuse-commercial,商业用地,0,1
landuse,retail,node,landuse-commercial,商业用地,0,1
leisure,park,way,landuse-grass,草地,0,1
leisure,park,node,landuse-grass,草地,0,1
leisure,pitch,way,poi-pitch,绿茵场,0,1
leisure,track,way,poi-track,跑道,0,1
leisure,track,node,poi-track,跑道,0,1
man_made,chimney,node,poi-chimney,烟囱,0,1
man_made,chimney,way,poi-chimney,烟囱,0,1
man_made,pier,way,poi-pier,码头,0,1
man_made,pier,way,poi-pier,码头,0,1
man_made,storage_tank,way,poi-tank,存储罐,0,1
man_made,storage_tank,node,poi-tank,存储罐,0,1
man_made,tank,way,poi-tank,储藏罐,0,1
man_made,tower,way,poi-tower,塔,0,1
man_made,tower,node,poi-tower,塔,0,1
man_made,water_tank,way,poi-tank,水罐,0,1
natural,beach,way,poi-beach,沙滩,0,1
natural,beach,node,poi-beach,沙滩,0,1
natural,cliff,way,poi-cliff,悬崖,0,1
natural,cliff,node,poi-cliff,悬崖,0,1
natural,coastline,way,poi-coastline,海岸,0,1
natural,glacier,way,poi-glacier,冰川区,0,1
natural,grassland,way,landuse-grass,草地,0,1
natural,grassland,node,landuse-grass,草地,0,1
natural,peak,node,poi-peak,山峰,0,1
natural,ridge,way,poi-peak,山峰,0,1
natural,ridge,node,poi-peak,山峰,0,1
natural,scrub,way,landuse-scrub,灌木,0,1
natural,scrub,way,landuse-scrub,灌木,0,1
natural,water,way,poi-water,水域,1,1
natural,water,node,poi-water,水域,1,1
natural,wetland,way,poi-wetland,湿地,0,1
natural,wetland,node,poi-wetland,湿地,0,1
natural,wood,way,landuse-wood,林地,0,1
natural,wood,node,landuse-wood,林地,0,1
railway,light_rail,way,way-rail,铁路,0,1
railway,platform,way,way-platform,月台,0,1
railway,rail,way,way-rail,铁路,0,1
service,yard,way,way-rail,铁路,0,1
sport,basketball,way,landuse-netball,球场,0,1
sport,tennis,way,landuse-netball,球场,0,1
tourism,hostel,node,poi-building,建筑,0,1
tourism,hotel,node,poi-building,建筑,0,1
water,lake,way,landuse-lake,湖泊,0,1
waterway,ditch,way,landuse-drain,水渠,0,1
waterway,drain,way,landuse-drain,水渠,0,1
waterway,river,way,landuse-river,河流,1,1
waterway,riverbank,way,landuse-river,河流,0,1
waterway,stream,way,landuse-river,河流,0,1
